Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Africa,,2022-04-01,20.46,
Africa,,2022-04-02,20.46,
Africa,,2022-04-03,20.47,
Africa,,2022-04-04,20.49,
Africa,,2022-04-05,20.5,
Africa,,2022-04-06,20.5,
Africa,,2022-04-07,20.64,
Africa,,2022-04-08,20.65,
Africa,,2022-04-09,20.75,
Africa,,2022-04-10,20.83,
Africa,,2022-04-11,20.83,
Africa,,2022-04-12,20.89,
Africa,,2022-04-13,20.89,
Africa,,2022-04-14,20.89,
Africa,,2022-04-15,20.89,
Africa,,2022-04-16,20.89,
Africa,,2022-04-17,20.9,
Africa,,2022-04-18,20.9,
Africa,,2022-04-19,20.9,
Africa,,2022-04-20,20.9,
Africa,,2022-04-21,20.9,
Africa,,2022-04-22,20.9,
Africa,,2022-04-23,20.93,
Africa,,2022-04-24,20.96,
Africa,,2022-04-25,20.96,
Africa,,2022-04-26,21.6,
Africa,,2022-04-27,21.6,
Africa,,2022-04-28,21.6,
Africa,,2022-04-29,21.6,
Africa,,2022-04-30,21.62,
Africa,,2022-05-01,21.8,
Africa,,2022-05-02,21.8,
Africa,,2022-05-03,21.8,
Africa,,2022-05-04,21.81,
Africa,,2022-05-05,21.81,
Africa,,2022-05-06,21.81,
Africa,,2022-05-07,21.82,
Africa,,2022-05-08,22.26,
Africa,,2022-05-09,22.26,
Africa,,2022-05-10,22.26,
Africa,,2022-05-11,22.27,
Africa,,2022-05-12,22.27,
Africa,,2022-05-13,22.28,
Africa,,2022-05-14,22.29,
Africa,,2022-05-15,22.33,
Africa,,2022-05-16,22.33,
Africa,,2022-05-17,22.34,
Africa,,2022-05-18,22.34,
Africa,,2022-05-19,22.34,
Africa,,2022-05-20,22.35,
Africa,,2022-05-21,22.35,
Africa,,2022-05-22,22.58,
Africa,,2022-05-23,22.58,
Africa,,2022-05-24,22.58,
Africa,,2022-05-25,22.58,
Africa,,2022-05-26,22.59,
Africa,,2022-05-27,22.59,
Africa,,2022-05-28,22.59,
Africa,,2022-05-29,23.28,
Africa,,2022-05-30,23.37,
Africa,,2022-05-31,23.37,
Africa,,2022-06-01,23.38,
Africa,,2022-06-02,23.38,
Africa,,2022-06-03,23.38,
Africa,,2022-06-04,23.38,
Africa,,2022-06-05,23.6,
Africa,,2022-06-06,23.6,
Africa,,2022-06-07,23.6,
Africa,,2022-06-08,23.6,
Africa,,2022-06-09,23.6,
Africa,,2022-06-10,23.61,
Africa,,2022-06-11,23.61,
Africa,,2022-06-12,23.61,
Africa,,2022-06-13,23.62,
Africa,,2022-06-14,23.72,
Africa,,2022-06-15,23.73,
Africa,,2022-06-16,23.73,
Africa,,2022-06-17,23.73,
Africa,,2022-06-18,23.73,
Africa,,2022-06-19,23.74,
Africa,,2022-06-20,23.77,
Africa,,2022-06-21,23.77,
Africa,,2022-06-22,23.77,
Africa,,2022-06-23,23.77,
Africa,,2022-06-24,23.77,
Albania,ALB,2021-01-10,0,
Albania,ALB,2021-01-12,0,
Albania,ALB,2021-01-13,0.01,
Albania,ALB,2021-01-14,0.01,
Albania,ALB,2021-01-15,0.01,
Albania,ALB,2021-01-16,0.01,
Albania,ALB,2021-01-17,0.01,
Albania,ALB,2021-01-18,0.02,
Albania,ALB,2021-01-19,0.02,
Albania,ALB,2021-01-20,0.02,
Albania,ALB,2021-01-21,0.02,
Albania,ALB,2021-02-02,0.02,
Albania,ALB,2021-02-09,0.02,
Albania,ALB,2021-02-17,0.04,
Albania,ALB,2021-02-18,0.08,
Albania,ALB,2021-02-22,0.21,
Albania,ALB,2021-05-11,15.35,
Albania,ALB,2021-05-12,15.48,
Albania,ALB,2021-05-13,15.5,
Albania,ALB,2021-05-14,15.61,
Albania,ALB,2021-05-17,15.91,
Albania,ALB,2021-05-18,16.02,
Albania,ALB,2021-05-19,16.13,
Albania,ALB,2021-05-20,16.22,
