"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Germany","DEU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","73.064567565918","","","","","","","","","","","","","","","","","","","","","86.996467590332","","","","","88.2444610595703","","","89.5387268066406","90.1063766479492","90.1551818847656","90.8581466674805","91.7637634277344","91.9912109375","93.7784576416016","","","","","",
"Algeria","DZA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6308784484863","","","","","","","","","","","","","","","69.8734970092773","","","","72.648681640625","","75.1360473632813","","","","","","","","","","81.4078369140625","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","63.8146781921387","63.9865798950195","65.108268737793","66.2222290039063","66.7941284179688","68.4850692749023","69.3457336425781","70.6539306640625","71.7045593261719","72.7099304199219","73.6005020141602","74.8436126708984","79.2053909301758","79.9052734375","79.787483215332","81.1292572021484","81.6948928833008","82.2153396606445","82.8106994628906","83.3998107910156","83.9192962646484","89.5547866821289","89.9209594726563","90.2490921020508","90.5564727783203","91.0065536499023","91.3846969604492","91.7557678222656","92.0928192138672","92.4608993530273","92.8839874267578","93.9614715576172","94.198600769043","94.5188293457031","94.6077423095703","94.4559097290039","94.6779403686523","94.7790222167969","95.195671081543","95.4092330932617","95.53955078125","95.7292861938477","95.8791198730469","96.0267868041992","96.1731491088867","",
"Early-demographic dividend","EAR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","48.847339630127","49.0845603942871","49.7215805053711","50.3535118103027","50.9587211608887","51.0460586547852","51.8267784118652","52.7948989868164","53.4155502319336","54.2119216918945","54.86669921875","55.4972686767578","56.3853187561035","57.123291015625","57.8043518066406","58.65625","59.1379508972168","60.1629600524902","60.9489784240723","61.7447509765625","62.5383186340332","63.2736015319824","63.934009552002","66.9609222412109","67.573600769043","68.2502212524414","68.6785583496094","69.372428894043","70.4044418334961","71.1938934326172","70.9864807128906","71.2460174560547","72.0518188476563","73.2806701660156","74.142578125","75.2829208374023","75.2880020141602","75.919319152832","76.4218978881836","77.2373733520508","77.9557800292969","78.5781021118164","79.0169982910156","79.354133605957","79.8409881591797","80.307258605957","",
"East Asia & Pacific","EAS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","65.9404907226563","66.1317901611328","67.1467514038086","68.1490325927734","68.6438903808594","70.2154922485352","70.9532089233398","72.1205825805664","73.063362121582","73.9693374633789","74.7678680419922","75.9420471191406","79.8541030883789","80.5023574829102","80.4124374389648","81.6342468261719","82.1619567871094","82.6443099975586","83.2157363891602","83.7791519165039","84.2719268798828","89.3209533691406","89.671989440918","90.0217437744141","90.313850402832","90.7394790649414","91.1237335205078","91.5148696899414","91.8668518066406","92.2486877441406","92.6711120605469","93.660026550293","93.9256896972656","94.2469100952148","94.2679901123047","94.0752410888672","94.313362121582","94.4203720092773","94.9177322387695","95.1382675170898","95.2753829956055","95.4714279174805","95.6253204345703","95.7740097045898","95.919792175293","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","93.9975814819336","94.703987121582","94.9108810424805","94.9616088867188","95.0981216430664","95.2373809814453","95.3128967285156","95.5121078491211","95.5431900024414","95.6625518798828","95.7830581665039","95.901123046875","96.0218887329102","96.2056427001953","96.3177871704102","96.6522903442383","96.7485961914063","96.8666534423828","96.9455032348633","97.0317764282227","97.1056594848633","97.2827682495117","97.4964218139648","97.4550170898438","97.5509490966797","97.5549774169922","98.0633697509766","98.3786773681641","98.6346893310547","98.7682189941406","98.8167190551758","98.8498077392578","98.8784637451172","98.9988784790039","98.9724578857422","99.0077362060547","99.0434875488281","99.0774688720703","",
"Europe & Central Asia","ECS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","95.6723327636719","95.811393737793","95.9729385375977","96.0991287231445","96.2465515136719","96.3609390258789","96.4207611083984","96.516960144043","96.6961212158203","96.7901992797852","96.9191436767578","96.9244689941406","97.0769119262695","97.0874710083008","97.2470703125","97.4175262451172","97.5809478759766","97.8936767578125","97.9982223510742","98.0686416625977","98.1163482666016","98.1648712158203","98.2547912597656","98.2719192504883","98.3335189819336","98.3789672851563","98.4282836914063","",
"Ecuador","ECU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","83.5526885986328","","","","","","","","88.2987594604492","","","","","","","","","","","90.9840316772461","","","","","","92.0967864990234","92.3900527954102","92.2497634887695","91.8540420532227","91.5868988037109","92.0647277832031","93.2946319580078","94.2226409912109","94.4556579589844","94.350227355957","92.8297882080078","","","93.6260986328125","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","38.1967582702637","","","","","","","","","","44.4239883422852","","","","","","","","","","55.5870018005371","","","","","","","","","67.3318710327148","66.3699111938477","","","","72.0478515625","","73.865592956543","72.442497253418","","","","71.1682510375977","","","","",
"Euro area","EMU","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.5139503479004","","","","","","64.662971496582","","","","","","","","","","76.5705184936523","","","",
"Spain","ESP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","92.8097686767578","","","","","","","","","","96.4949722290039","","","","","","","","","","","","","97.1651229858398","97.7506866455078","97.7521362304688","97.9388427734375","97.6306076049805","97.6792678833008","97.7489013671875","97.7837524414063","97.8945388793945","98.0791320800781","98.0937194824219","98.1432571411133","98.2505111694336","","98.4365005493164","","98.5944595336914","",
