"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death"
"GAB",167,5.53,139.5,94,488,488,97.5,15,536,590,351,70.0643383584588,111.5,514,87,13.4,6.3,2.946,62,2225728,8.63790119144642,100,6881.71519231831,215.01914978,39.1208992,3.52881341615845,59.2072997042773,37.2638868795642,-1.32951766439976,0.95386381251287,"Africa","Sub-Saharan Africa",1527
"GBR",1,73.29,93.5,115.5,441,552,44,187,595,180,131,61.4300312500002,8,0,545,29.5,2.46,10.2922,94.81820132,67215293,277.829508535527,66.5332490328298,41059.1688090547,4312.88916016,20.51708603,18.6533467108562,63.6693780696586,17.6772752194852,1.0934021786126,0.607021751927149,"Europe","Northern Europe",146571
"GEO",149.5,25.47,69,145.5,267,563,29.5,39,544,311,599,62.8748045602608,67.5,0,323,23.3,2.89,5.2162,72.53158402,3722716,65.1302704783232,100,4256.70118558798,291.12203979,58.65617371,15.2533097762014,64.5262782931875,20.2204119306111,-0.019680692303767,0.21399382059434,"Asia","Western Asia",21097
"GHA",81.5,6.77,101,91,505,549,78.5,21,581,20,540,47.1350083752095,125.5,387,0,9.7,0.9,2.711,58,31072945,136.560363013097,100,2205.5290158584,75.28166199,48.48457718,3.14034977057208,59.7284936668368,37.1311565625911,-0.39955070581436,0.421397409686551,"Africa","Sub-Saharan Africa",19737
"GIN",43,11.22,71,40,562,562,110,19,584,581,259,60.4813377926421,28.5,223,0,6.6,0.3,0.1238,26,13132792,53.446166368224,100,1194.03786469445,43.03782272,66.67956543,2.95231898464874,53.9987260899146,43.0489549254367,1.13235095577378,0.943899556520692,"Africa","Sub-Saharan Africa",12038
"GMB",81.5,9.43,149,101,424,424,64,60,260,67,510,51.5695117845116,128.5,131,0,8.7,1.1,0.6061,36.5,2416664,238.800790513834,100,773.002070135524,29.72580338,27.48450851,2.53141929301005,53.5185635759649,43.950017131025,-0.915046189394344,-1.51938948613779,"Africa","Sub-Saharan Africa",2837
"GRC",12,64.02,93.5,127,315,552,124,79,599,323,520,68.4063533225282,162,407,454,27.4,4.2,3.7019,78.11584474,10700556,83.0143987587277,99.9999999998588,17647.2326882744,1500.5949707,51.7366066,22.2843899686215,64.0596892235232,13.6559208078554,-1.0659232401206,1.24229439079809,"Europe","Southern Europe",17088
"GRD",171,33.81,173,162,0,0,156.5,0,0,0,0,9.8664073914116,172,0,0,20.2,3.57,3.0568,56.9,112519,330.938235294118,100,9261.55187617696,534.27441406,58.51715851,9.79266461079068,66.4308630235596,23.7764723656497,-3.44922956071174,-6.21090876410442,"Americas","Latin America and the Caribbean",-248
"GTM",43,29.21,54.5,24,565,565,16,132,594,235,0,63.3213964686996,114,174,0,18.8,0.44,1.2829,49.97,16858333,157.319270250093,100,4603.33961670975,271.02127075,60.70773697,5.04203941510534,61.6155290192306,33.342431565664,1.65567209249539,0.412778218968168,"Americas","Latin America and the Caribbean",46984
"GUY",76,48.11,32,98,472,579,69,58,544,561,599,68.4642737896493,57.5,44,297,19.2,1.71,0.7869,37.32583679,786559,3.99572771145542,99.9881773200384,6955.93921717789,325.88516235,37.86107635,6.99953722067962,65.2685391429937,27.7319236363267,0.94506919605441,1.22389966966149,"Americas","Latin America and the Caribbean",2663
