"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death","V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists"
"GEO",149.5,25.47,69,145.5,267,563,29.5,39,544,311,599,62.8748045602608,67.5,0,323,23.3,2.89,5.2162,72.53158402,3722716,65.1302704783232,100,4256.70118558798,291.12203979,58.65617371,15.2533097762014,64.5262782931875,20.2204119306111,-0.019680692303767,0.21399382059434,"Asia","Western Asia",21097,"Georgia",0.795433911298244,0.887170966280974,0.685098609886075,0.646435713167748,0.212346748388933,0.622128090275384
"GHA",81.5,6.77,101,91,505,549,78.5,21,581,20,540,47.1350083752095,125.5,387,0,9.7,0.9,2.711,58,31072945,136.560363013097,100,2205.5290158584,75.28166199,48.48457718,3.14034977057208,59.7284936668368,37.1311565625911,-0.39955070581436,0.421397409686551,"Africa","Sub-Saharan Africa",19737,"Ghana",0.816519667146268,0.749278767973571,0.891831493236742,0.850802258340892,0.535651878682681,0.745381974332711
"GIN",43,11.22,71,40,562,562,110,19,584,581,259,60.4813377926421,28.5,223,0,6.6,0.3,0.1238,26,13132792,53.446166368224,100,1194.03786469445,43.03782272,66.67956543,2.95231898464874,53.9987260899146,43.0489549254367,1.13235095577378,0.943899556520692,"Africa","Sub-Saharan Africa",12038,"Guinea",0.520584238967669,0.685603595312698,0.816539138281262,0.676386666876573,0.381697269435687,0.660900622337638
"GRC",12,64.02,93.5,127,315,552,124,79,599,323,520,68.4063533225282,162,407,454,27.4,4.2,3.7019,78.11584474,10700556,83.0143987587277,99.9999999998588,17647.2326882744,1500.5949707,51.7366066,22.2843899686215,64.0596892235232,13.6559208078554,-1.0659232401206,1.24229439079809,"Europe","Southern Europe",17088,"Greece",0.754612424822273,0.691683757941881,0.788988933049382,0.749772599548489,0.658430986941508,0.115407564623481
"HRV",95.5,46.84,145,95,448,476,37,38,522,49,376,46.7945691056909,40,445,388,27.1,5.54,6.192,78.32093274,4047680,71.5264180950698,99.7796052732656,14132.4865609499,1040.08569336,18.44828796,21.2522352382927,64.2062014480422,14.5415633136651,0.0882334847523387,0.164714458690878,"Europe","Southern Europe",15126,"Croatia",0.633868091192313,0.721753573413378,0.588029746957037,0.819366526902217,0.346968944094504,0.596479073642157
"HUN",26,61.81,90,152,71,553,126,30,474,288,320,54.560789473684,75,125,336,28.6,7.01,5.2593,84.77115202,9750149,106.839239535393,100,15980.1082258832,1062.39416504,32.01777649,20.1631079450426,65.4282334047697,14.4086586501878,-0.667645072870458,-0.641457160107599,"Europe","Eastern Europe",32236,"Hungary",0.790867574509396,0.868412135986334,0.836107749037592,0.521240492934202,0.450541181433825,0.340150259842533
"IDN",160,43.3,47.5,16.5,574,575,95.5,87,596,484,231,66.09960591133,56,246,0,6.9,1.04,3.807,53.72649449,273523621,145.683543548694,95.5671472610627,3869.58842704537,120.12496185,50.50718689,6.26251338481323,67.8014803219093,25.9360062932775,0.971002175300675,1.13139881785385,"Asia","South-eastern Asia",1024785,"Indonesia",0.735671505413732,0.77221830770956,0.837597114826089,0.862487315143433,0.771511119555605,0.543018158312276
"IND",39,52.64,37,28.5,571,578,44,270,595,589,337,71.1938533541343,18,151,171,3.8,0.53,2.3885,43,1380004385,464.149410229417,100,1927.70782309335,63.74832153,66.37770081,6.57388867644794,67.2654998846254,26.1606114389267,2.33689900277107,2.06377339157243,"Asia","Southern Asia",4599800,"India",0.69295149191022,0.835189515006583,0.95368655418358,0.866288517174357,0.58420207474007,0.725086843391556
"IRL",54,77.44,147,147,304,473,64,274,599,244,486,64.6758428805236,63.5,0,506,26.9,2.97,13.0118,91.99989097,4985674,72.3715198141965,0.274091678859734,85422.5428682266,5428.58886719,25.42202377,14.5779505227647,64.5897776857887,20.8322717914466,-0.706063335751311,0.767330605629181,"Europe","Northern Europe",2861,"Ireland",0.89909748538926,0.935062610422627,0.769214856701166,0.674506287833374,0.293912424611881,0.718837847603837
"IRN",67,61.39,141,130,347,484,49.5,391,573,310,142,65.4372946859905,167,41,168,25.5,1.56,2.0766,84.11087002,83992953,51.5686491564135,100,2422.48065682777,470.43460083,50.48118973,6.56435458647845,68.6909492843262,24.7446961291953,-1.23252199003456,0.653854706966765,"Asia","Southern Asia",233179,"Iran",0.695316246142826,0.840399562383824,0.852023390889239,0.64502538513173,0.725442159729355,0.541752183754837
